SupplierID,SupplierName,ContactName,ContactEmail,Phone,City,Country
1,"Figueroa, Harris and Valencia",Karen Cameron,lynchsarah@example.com,9799107849,West Davidbury,Central African Republic
2,Wilson-Rodriguez,Jessica Williamson,timothybenitez@example.net,795-593-5288x7638,North Todd,Mayotte
3,Cantrell PLC,Shannon Carter,matthew77@example.com,001-379-503-0546,North Elizabeth,Nauru
4,"Mccoy, Kirk and Proctor",Michael Wood,srich@example.net,857.749.3936x124,Mooreburgh,Jersey
5,Farrell-Rhodes,Julie Stanton,steelejordan@example.org,(335)436-3389x87156,Warnertown,Mozambique
6,Roberson PLC,Shannon Adams,martinjoseph@example.net,+1-781-938-0914x7652,Melodystad,Uganda
7,Beasley and Sons,Kevin Gomez,shaunvalencia@example.net,9002043675,North Paula,Guernsey
8,Holland and Sons,Christopher Fisher,stephenwilson@example.net,+1-242-819-8269,New Danielton,Indonesia
9,"Stuart, Cruz and Craig",Scott Sims,johnsonanthony@example.org,2345796091,New Gregory,New Zealand
10,Roberts Inc,Cynthia Stewart DDS,mooremichael@example.com,581-804-4763,Greenside,Kiribati
